"모기지수 발생일","모기지수(수변부)","모기지수(주거지)","모기지수(공원)"
"2021-03-29","68.7","24.2","18.8"
"2021-03-28","12.1","42.6","0.0"
"2021-03-27","49.9","19.1","9.4"
"2021-03-26","43.8","17.7","10.4"
"2021-03-25","26.0","12.6","0.0"
"2021-03-25","26.0","12.6","0.0"
"2021-03-24","18.2","8.7","0.0"
"2021-03-23","29.3","10.2","0.0"
"2021-03-22","53.2","17.2","9.4"
"2021-03-21","75.4","29.2","25.0"
"2021-03-20","39.9","19.1","3.2"
"2021-03-19","22.1","10.3","0.0"
"2021-03-19","22.1","10.3","0.0"
"2021-03-18","39.3","13.9","0.5"
"2021-03-17","40.4","18.4","2.3"
"2021-03-16","39.3","14.5","1.2"
"2021-03-15","37.6","15.4","0.0"
"2021-03-14","52.1","18.9","8.9"
"2021-03-13","38.2","15.5","1.7"
"2021-03-12","21.5","10.8","0.0"
"2021-03-12","21.5","10.8","0.0"
"2021-03-11","23.8","8.8","0.0"
"2021-03-10","20.4","8.3","0.0"
"2021-03-09","23.8","7.5","0.0"
"2021-03-08","29.9","9.5","0.0"
"2021-03-07","28.8","12.5","0.0"
"2021-03-06","26.0","10.0","0.0"
"2021-03-05","5.4","4.0","0.0"
"2021-03-04","13.2","0.3","0.0"
"2021-03-03","14.9","6.0","0.0"
"2021-03-02","29.9","14.4","0.0"
"2021-03-02","29.9","14.4","0.0"
"2021-03-01","36.0","14.1","0.0"
"2021-02-28","14.9","10.2","0.0"
"2021-02-27","16.0","5.2","0.0"
"2021-02-26","0.0","0.0","0.0"
"2021-02-25","0.0","0.0","0.0"
"2021-02-24","14.3","12.4","0.0"
"2021-02-23","38.2","17.2","1.8"
"2021-02-22","42.6","13.2","3.4"
"2021-02-21","0.0","0.0","0.0"
"2021-02-20","0.0","0.0","0.0"
"2021-02-19","12.1","0.0","0.0"
"2021-02-18","0.0","0.0","0.0"
"2021-02-17","0.0","0.0","0.0"
"2021-02-16","47.6","16.8","5.8"
"2021-02-15","17.7","8.1","0.0"
"2021-02-14","15.4","6.5","0.0"
"2021-02-13","19.3","6.6","0.0"
"2021-02-12","3.8","3.6","0.0"
"2021-02-11","0.0","0.0","0.0"
"2021-02-10","0.0","0.0","0.0"
"2021-02-09","0.0","3.8","0.0"
"2021-02-08","36.0","12.5","0.0"
"2021-02-07","0.0","0.0","0.0"
"2021-02-06","0.0","0.0","0.0"
"2021-02-06","0.0","0.0","0.0"
"2021-02-05","0.0","0.0","0.0"
"2021-02-04","0.0","0.0","0.0"
"2021-02-03","0.0","6.5","0.0"
"2021-02-02","0.0","1.3","0.0"
"2021-02-01","0.0","0.0","0.0"
"2021-01-31","0.0","0.0","0.0"
"2021-01-30","0.0","0.0","0.0"
"2021-01-29","2.1","-1.2","-24.3"
"2021-01-29","2.1","0.0","0.0"
"2021-01-28","21.5","9.8","0.0"
"2021-01-27","54.7","22.7","32.7"
"2021-01-26","53.0","22.0","31.7"
"2021-01-25","53.9","22.3","32.2"
"2021-01-24","48.3","20.0","28.8"
"2021-01-23","45.8","19.0","27.4"
"2021-01-22","36.1","14.9","21.5"
"2021-01-21","26.1","10.8","15.6"
"2021-01-20","29.7","12.3","17.8"
"2021-01-19","27.2","11.3","16.2"
"2021-01-18","28.1","11.6","16.8"
"2021-01-17","45.8","19.0","27.4"
"2021-01-16","39.6","16.4","23.6"
"2021-01-15","40.2","16.7","24.0"
"2021-01-14","29.6","12.2","17.7"
"2021-01-13","36.3","15.0","21.6"
"2021-01-12","36.3","15.0","21.6"
"2021-01-11","36.3","15.0","21.6"
"2021-01-10","36.3","15.0","21.6"
"2021-01-09","36.3","15.0","21.6"
"2021-01-08","36.3","15.0","21.6"
"2021-01-07","36.3","15.0","21.6"
"2021-01-06","36.3","15.0","21.6"
"2021-01-05","36.3","15.0","21.6"
"2021-01-04","36.3","15.0","21.6"
"2021-01-03","36.3","15.0","21.6"
"2021-01-02","36.3","15.0","21.6"
"2021-01-01","36.3","15.0","21.6"
