air_inflow,air_end_temp,motor_current,motor_rpm,motor_temp,motor_vibe,type
3.36,64.49,43.5,3559.0,79.54,3.98,30
2.02,46.78,26.18,2142.0,63.8,3.19,30
2.82,57.36,36.53,2989.0,73.21,3.66,30
1.42,38.78,18.36,1502.0,56.69,2.83,30
2.58,54.15,33.39,2732.0,70.36,3.52,30
2.13,48.13,27.5,2250.0,65.0,3.25,30
2.14,48.29,27.66,2263.0,65.14,3.26,30
3.24,62.83,41.87,3426.0,78.07,3.9,30
1.74,43.04,22.53,1843.0,60.48,3.02,30
2.95,59.06,38.19,3125.0,74.72,3.74,30
3.31,63.76,42.79,3501.0,78.9,3.95,30
1.68,42.26,21.77,1781.0,59.79,2.99,30
2.77,56.65,35.84,2932.0,72.58,3.63,30
1.36,37.95,17.55,1436.0,55.96,2.8,30
1.25,36.55,16.18,1324.0,54.71,2.74,30
2.63,54.76,33.99,2781.0,70.9,3.55,30
2.27,50.01,29.35,2401.0,66.68,3.33,30
3.12,61.3,40.38,3304.0,76.71,3.84,30
1.19,35.76,15.41,1261.0,54.01,2.7,30
1.87,44.73,24.18,1978.0,61.98,3.1,30
2.25,49.78,29.11,2382.0,66.47,3.32,30
3.12,61.31,40.39,3305.0,76.72,3.84,30
2.94,58.94,38.07,3115.0,74.61,3.73,30
3.29,63.54,42.57,3483.0,78.7,3.94,30
1.2,35.91,15.56,1273.0,54.14,2.71,30
2.71,55.85,35.05,2868.0,71.87,3.59,30
2.57,54.04,33.28,2723.0,70.26,3.51,30
1.87,44.74,24.19,1979.0,61.99,3.1,30
2.96,59.23,38.35,3138.0,74.87,3.74,30
1.83,44.16,23.63,1933.0,61.48,3.07,30
1.22,36.14,15.78,1291.0,54.34,2.72,30
2.94,58.85,37.99,3108.0,74.53,3.73,30
2.57,53.95,33.2,2716.0,70.18,3.51,30
2.33,50.89,30.2,2471.0,67.46,3.37,30
2.45,52.48,31.75,2598.0,68.87,3.44,30
3.3,63.69,42.72,3495.0,78.83,3.94,30
2.68,55.45,34.66,2836.0,71.51,3.58,30
2.55,53.71,32.96,2697.0,69.97,3.5,30
3.29,63.6,42.63,3488.0,78.76,3.94,30
2.15,48.45,27.82,2276.0,65.29,3.26,30
1.25,36.59,16.22,1327.0,54.74,2.74,30
2.91,58.46,37.61,3077.0,74.19,3.71,30
2.9,58.39,37.53,3071.0,74.12,3.71,30
2.14,48.33,27.7,2266.0,65.18,3.26,30
1.84,44.41,23.87,1953.0,61.7,3.09,30
1.4,38.5,18.09,1480.0,56.44,2.82,30
1.76,43.3,22.78,1864.0,60.71,3.04,30
3.36,64.5,43.51,3560.0,79.56,3.98,30
1.65,41.83,21.34,1746.0,59.4,2.97,30
3.37,64.54,43.55,3563.0,79.59,3.98,30
1.97,46.14,25.56,2091.0,63.23,3.16,30
2.29,50.34,29.66,2427.0,66.97,3.35,30
2.46,52.58,31.85,2606.0,68.96,3.45,30
1.65,41.9,21.41,1752.0,59.47,2.97,30
2.54,53.61,32.87,2689.0,69.88,3.49,30
3.25,63.04,42.08,3443.0,78.26,3.91,30
1.86,44.58,24.03,1966.0,61.84,3.09,30
2.66,55.2,34.42,2816.0,71.29,3.56,30
1.71,42.64,22.13,1811.0,60.12,3.01,30
2.35,51.11,30.42,2489.0,67.66,3.38,30
2.57,54.0,33.24,2720.0,70.22,3.51,30
1.22,36.15,15.79,1292.0,54.36,2.72,30
2.96,59.24,38.37,3139.0,74.88,3.74,30
1.77,43.4,22.88,1872.0,60.8,3.04,30
2.2,49.11,28.47,2329.0,65.88,3.29,30
3.16,61.81,40.88,3345.0,77.17,3.86,30
2.07,47.46,26.85,2197.0,64.41,3.22,30
2.84,57.54,36.7,3003.0,73.37,3.67,30
1.8,43.88,23.34,1910.0,61.22,3.06,30
2.47,52.69,31.96,2615.0,69.06,3.45,30
1.81,44.0,23.47,1920.0,61.33,3.07,30
1.81,43.94,23.41,1915.0,61.28,3.06,30
1.37,38.09,17.69,1447.0,56.08,2.8,30
3.02,59.91,39.03,3193.0,75.48,3.77,30
1.97,46.1,25.52,2088.0,63.2,3.16,30
3.24,62.85,41.9,3428.0,78.09,3.9,30
3.13,61.45,40.53,3316.0,76.84,3.84,30
1.79,43.66,23.14,1893.0,61.03,3.05,30
1.15,35.24,14.9,1219.0,53.54,2.68,30
1.78,43.61,23.09,1889.0,60.99,3.05,30
3.13,61.39,40.47,3311.0,76.79,3.84,30
1.97,46.14,25.56,2091.0,63.23,3.16,30
3.13,61.46,40.54,3317.0,76.86,3.84,30
2.14,48.36,27.73,2269.0,65.21,3.26,30
2.88,58.16,37.31,3053.0,73.92,3.7,30
3.15,61.66,40.74,3333.0,77.03,3.85,30
2.71,55.83,35.03,2866.0,71.84,3.59,30
3.27,63.25,42.29,3460.0,78.44,3.92,30
1.64,41.71,21.23,1737.0,59.3,2.97,30
2.17,48.74,28.1,2299.0,65.54,3.28,30
2.11,47.96,27.34,2237.0,64.86,3.24,30
3.09,60.88,39.97,3270.0,76.33,3.82,30
2.09,47.66,27.05,2213.0,64.59,3.23,30
2.14,48.26,27.63,2261.0,65.12,3.26,30
2.58,54.11,33.35,2729.0,70.32,3.52,30
2.18,48.83,28.18,2306.0,65.62,3.28,30
1.44,39.08,18.65,1526.0,56.96,2.85,30
1.32,37.45,17.06,1396.0,55.51,2.78,30
1.19,35.74,15.39,1259.0,53.99,2.7,30
1.17,35.54,15.19,1243.0,53.81,2.69,30
2.19,48.96,28.32,2317.0,65.74,3.29,30
3.31,63.84,42.86,3507.0,78.97,3.95,30
2.77,56.6,35.79,2928.0,72.53,3.63,30
3.07,60.59,39.69,3247.0,76.08,3.8,30
2.27,49.99,29.32,2399.0,66.66,3.33,30
3.02,59.91,39.03,3193.0,75.48,3.77,30
2.27,50.03,29.36,2402.0,66.69,3.33,30
1.62,41.39,20.91,1711.0,59.01,2.95,30
1.69,42.36,21.87,1789.0,59.88,2.99,30
2.65,55.06,34.28,2805.0,71.17,3.56,30
3.3,63.66,42.69,3493.0,78.81,3.94,30
2.19,49.03,28.38,2322.0,65.8,3.29,30
2.38,51.54,30.84,2523.0,68.03,3.4,30
1.29,37.09,16.71,1367.0,55.19,2.76,30
1.76,43.28,22.76,1862.0,60.69,3.03,30
2.59,54.23,33.46,2738.0,70.42,3.52,30
2.28,50.19,29.52,2415.0,66.83,3.34,30
2.94,58.93,38.06,3114.0,74.6,3.73,30
2.28,50.2,29.53,2416.0,66.84,3.34,30
3.15,61.69,40.76,3335.0,77.06,3.85,30
2.29,50.29,29.61,2423.0,66.92,3.35,30
2.38,51.56,30.86,2525.0,68.06,3.4,30
3.33,64.01,43.03,3521.0,79.12,3.96,30
2.69,55.65,34.86,2852.0,71.69,3.58,30
2.15,48.4,27.77,2272.0,65.24,3.26,30
2.68,55.46,34.67,2837.0,71.52,3.58,30
1.57,40.79,20.33,1663.0,58.48,2.92,30
1.66,41.96,21.47,1757.0,59.52,2.98,30
2.9,58.4,37.55,3072.0,74.13,3.71,30
1.34,37.68,17.28,1414.0,55.71,2.79,30
2.8,57.1,36.28,2968.0,72.98,3.65,30
2.18,48.85,28.21,2308.0,65.64,3.28,30
3.26,63.21,42.25,3457.0,78.41,3.92,30
2.7,55.68,34.88,2854.0,71.71,3.59,30
2.11,47.91,27.29,2233.0,64.81,3.24,30
1.22,36.16,15.8,1293.0,54.37,2.72,30
2.22,49.38,28.72,2350.0,66.11,3.31,30
1.22,36.2,15.84,1296.0,54.4,2.72,30
3.29,63.6,42.63,3488.0,78.76,3.94,30
2.51,53.26,32.52,2661.0,69.57,3.48,30
1.63,41.53,21.05,1722.0,59.13,2.96,30
1.88,44.83,24.27,1986.0,62.07,3.1,30
2.38,51.5,30.8,2520.0,68.0,3.4,30
2.02,46.7,26.11,2136.0,63.73,3.19,30
1.57,40.78,20.31,1662.0,58.47,2.92,30
2.21,49.31,28.66,2345.0,66.06,3.3,30
1.45,39.23,18.8,1538.0,57.09,2.85,30
1.5,39.84,19.4,1587.0,57.63,2.88,30
2.21,49.24,28.59,2339.0,65.99,3.3,30
1.43,38.9,18.48,1512.0,56.8,2.84,30
1.8,43.79,23.26,1903.0,61.14,3.06,30
1.47,39.41,18.98,1553.0,57.26,2.86,30
2.02,46.71,26.12,2137.0,63.74,3.19,30
1.24,36.46,16.1,1317.0,54.63,2.73,30
2.68,55.43,34.64,2834.0,71.49,3.57,30
2.12,48.01,27.39,2241.0,64.9,3.25,30
1.46,39.33,18.9,1546.0,57.18,2.86,30
2.24,49.64,28.98,2371.0,66.34,3.32,30
3.08,60.8,39.89,3264.0,76.27,3.81,30
3.25,63.03,42.07,3442.0,78.24,3.91,30
2.67,55.29,34.5,2823.0,71.37,3.57,30
2.08,47.49,26.88,2199.0,64.43,3.22,30
3.1,61.09,40.17,3287.0,76.52,3.83,30
2.41,51.96,31.25,2557.0,68.41,3.42,30
2.73,56.18,35.37,2894.0,72.16,3.61,30
2.53,53.5,32.76,2680.0,69.78,3.49,30
1.56,40.71,20.25,1657.0,58.41,2.92,30
1.54,40.44,19.98,1635.0,58.17,2.91,30
2.35,51.08,30.38,2486.0,67.62,3.38,30
2.41,51.89,31.18,2551.0,68.34,3.42,30
3.1,61.0,40.09,3280.0,76.44,3.82,30
3.28,63.46,42.5,3477.0,78.63,3.93,30
2.77,56.71,35.9,2937.0,72.63,3.63,30
1.82,44.08,23.54,1926.0,61.4,3.07,30
1.58,40.88,20.41,1670.0,58.56,2.93,30
2.01,46.55,25.96,2124.0,63.6,3.18,30
2.88,58.11,37.27,3049.0,73.88,3.69,30
2.62,54.64,33.87,2771.0,70.79,3.54,30
1.95,45.78,25.2,2062.0,62.91,3.15,30
3.24,62.93,41.97,3434.0,78.16,3.91,30
1.4,38.51,18.1,1481.0,56.46,2.82,30
3.05,60.33,39.43,3226.0,75.84,3.79,30
2.29,50.36,29.69,2429.0,66.99,3.35,30
2.51,53.26,32.52,2661.0,69.57,3.48,30
2.46,52.5,31.78,2600.0,68.89,3.44,30
1.38,38.31,17.91,1465.0,56.28,2.81,30
1.57,40.83,20.36,1666.0,58.51,2.93,30
2.05,47.16,26.56,2173.0,64.14,3.21,30
2.4,51.81,31.11,2545.0,68.28,3.41,30
3.24,62.94,41.98,3435.0,78.17,3.91,30
1.23,36.34,15.97,1307.0,54.52,2.73,30
2.88,58.06,37.22,3045.0,73.83,3.69,30
1.76,43.24,22.72,1859.0,60.66,3.03,30
2.97,59.25,38.38,3140.0,74.89,3.74,30
1.26,36.74,16.37,1339.0,54.88,2.74,30
2.85,57.71,36.87,3017.0,73.52,3.68,30
1.29,37.01,16.63,1361.0,55.12,2.76,30
2.98,59.45,38.57,3156.0,75.07,3.75,30
2.79,56.95,36.13,2956.0,72.84,3.64,30
1.58,40.95,20.48,1676.0,58.62,2.93,30
2.65,55.11,34.33,2809.0,71.21,3.56,30
3.35,64.35,43.36,3548.0,79.42,3.97,30
1.5,39.83,19.38,1586.0,57.62,2.88,30
1.41,38.73,18.31,1498.0,56.64,2.83,30
2.04,47.05,26.45,2164.0,64.04,3.2,30
2.81,57.14,36.31,2971.0,73.01,3.65,30
2.65,55.08,34.3,2806.0,71.18,3.56,30
2.84,57.56,36.73,3005.0,73.39,3.67,30
1.87,44.81,24.26,1985.0,62.06,3.1,30
2.7,55.75,34.96,2860.0,71.78,3.59,30
2.4,51.71,31.01,2537.0,68.19,3.41,30
2.85,57.78,36.94,3022.0,73.58,3.68,30
2.58,54.18,33.42,2734.0,70.38,3.52,30
2.42,51.99,31.28,2559.0,68.43,3.42,30
2.83,57.46,36.63,2997.0,73.3,3.67,30
2.06,47.26,26.66,2181.0,64.23,3.21,30
2.96,59.24,38.37,3139.0,74.88,3.74,30
1.75,43.23,22.71,1858.0,60.64,3.03,30
2.86,57.91,37.07,3033.0,73.7,3.69,30
2.97,59.36,38.49,3149.0,74.99,3.75,30
3.03,60.06,39.17,3205.0,75.61,3.78,30
3.25,63.05,42.09,3444.0,78.27,3.91,30
2.92,58.59,37.73,3087.0,74.3,3.72,30
3.08,60.71,39.81,3257.0,76.19,3.81,30
1.62,41.44,20.96,1715.0,59.06,2.95,30
2.63,54.75,33.98,2780.0,70.89,3.54,30
2.14,48.39,27.76,2271.0,65.23,3.26,30
2.64,54.9,34.12,2792.0,71.02,3.55,30
3.36,64.5,43.51,3560.0,79.56,3.98,30
1.97,46.01,25.43,2081.0,63.12,3.16,30
2.03,46.81,26.22,2145.0,63.83,3.19,30
2.87,58.01,37.17,3041.0,73.79,3.69,30
1.31,37.34,16.95,1387.0,55.41,2.77,30
1.98,46.21,25.63,2097.0,63.3,3.17,30
2.86,57.89,37.05,3031.0,73.68,3.68,30
2.21,49.21,28.56,2337.0,65.97,3.3,30
1.47,39.45,19.02,1556.0,57.29,2.86,30
1.51,40.05,19.6,1604.0,57.82,2.89,30
1.17,35.49,15.14,1239.0,53.77,2.69,30
3.15,61.68,40.75,3334.0,77.04,3.85,30
2.9,58.38,37.52,3070.0,74.11,3.71,30
3.25,63.08,42.12,3446.0,78.29,3.91,30
2.61,54.51,33.75,2761.0,70.68,3.53,30
3.15,61.63,40.7,3330.0,77.0,3.85,30
2.28,50.18,29.5,2414.0,66.82,3.34,30
2.02,46.78,26.18,2142.0,63.8,3.19,30
1.97,46.03,25.45,2082.0,63.13,3.16,30
1.26,36.74,16.37,1339.0,54.88,2.74,30
1.32,37.51,17.12,1401.0,55.57,2.78,30
2.08,47.54,26.93,2203.0,64.48,3.22,30
1.51,40.0,19.56,1600.0,57.78,2.89,30
3.22,62.66,41.71,3413.0,77.92,3.9,30
3.14,61.5,40.58,3320.0,76.89,3.84,30
1.57,40.73,20.26,1658.0,58.42,2.92,30
1.46,39.3,18.87,1544.0,57.16,2.86,30
2.42,51.98,31.26,2558.0,68.42,3.42,30
3.19,62.24,41.3,3379.0,77.54,3.88,30
1.89,45.05,24.49,2004.0,62.27,3.11,30
1.96,45.98,25.4,2078.0,63.09,3.15,30
3.08,60.7,39.8,3256.0,76.18,3.81,30
2.32,50.7,30.02,2456.0,67.29,3.36,30
2.51,53.25,32.51,2660.0,69.56,3.48,30
1.53,40.28,19.82,1622.0,58.02,2.9,30
3.24,62.85,41.9,3428.0,78.09,3.9,30
2.13,48.2,27.57,2256.0,65.07,3.25,30
1.14,35.13,14.79,1210.0,53.44,2.67,30
1.72,42.7,22.2,1816.0,60.18,3.01,30
2.67,55.31,34.53,2825.0,71.39,3.57,30
2.51,53.16,32.43,2653.0,69.48,3.47,30
3.31,63.86,42.89,3509.0,78.99,3.95,30
1.28,36.98,16.6,1358.0,55.09,2.75,30
3.25,62.95,42.0,3436.0,78.18,3.91,30
1.67,42.13,21.63,1770.0,59.67,2.98,30
3.28,63.44,42.47,3475.0,78.61,3.93,30
1.15,35.19,14.85,1215.0,53.5,2.68,30
3.35,64.35,43.36,3548.0,79.42,3.97,30
2.19,49.0,28.36,2320.0,65.78,3.29,30
2.75,56.43,35.62,2914.0,72.38,3.62,30
3.08,60.71,39.81,3257.0,76.19,3.81,30
2.42,52.09,31.37,2567.0,68.52,3.43,30
1.81,43.96,23.43,1917.0,61.3,3.07,30
1.68,42.3,21.8,1784.0,59.82,2.99,30
1.48,39.56,19.13,1565.0,57.39,2.87,30
1.68,42.25,21.76,1780.0,59.78,2.99,30
2.36,51.2,30.51,2496.0,67.73,3.39,30
3.31,63.86,42.89,3509.0,78.99,3.95,30
1.57,40.74,20.28,1659.0,58.43,2.92,30
3.05,60.38,39.48,3230.0,75.89,3.79,30
3.23,62.69,41.74,3415.0,77.94,3.9,30
2.61,54.49,33.72,2759.0,70.66,3.53,30
1.51,39.98,19.53,1598.0,57.76,2.89,30
2.3,50.41,29.74,2433.0,67.03,3.35,30
2.69,55.65,34.86,2852.0,71.69,3.58,30
1.77,43.43,22.9,1874.0,60.82,3.04,30
2.85,57.68,36.84,3014.0,73.49,3.67,30
3.32,63.88,42.9,3510.0,79.0,3.95,30
2.27,50.09,29.42,2407.0,66.74,3.34,30
1.6,41.13,20.66,1690.0,58.78,2.94,30
1.54,40.35,19.9,1628.0,58.09,2.9,30
2.9,58.43,37.57,3074.0,74.16,3.71,30
3.35,64.28,43.29,3542.0,79.36,3.97,30
1.75,43.15,22.64,1852.0,60.58,3.03,30
2.24,49.69,29.03,2375.0,66.39,3.32,30
3.16,61.85,40.92,3348.0,77.2,3.86,30
1.72,42.81,22.31,1825.0,60.28,3.01,30
1.66,41.95,21.46,1756.0,59.51,2.98,30
2.12,48.1,27.48,2248.0,64.98,3.25,30
2.2,49.13,28.48,2330.0,65.89,3.29,30
1.41,38.7,18.28,1496.0,56.62,2.83,30
1.17,35.51,15.17,1241.0,53.79,2.69,30
3.03,60.1,39.21,3208.0,75.64,3.78,30
2.41,51.94,31.23,2555.0,68.39,3.42,30
2.14,48.36,27.73,2269.0,65.21,3.26,30
1.44,39.0,18.58,1520.0,56.89,2.84,30
3.22,62.58,41.63,3406.0,77.84,3.89,30
1.63,41.51,21.03,1721.0,59.12,2.96,30
3.31,63.75,42.78,3500.0,78.89,3.94,30
1.35,37.83,17.43,1426.0,55.84,2.79,30
2.68,55.48,34.69,2838.0,71.53,3.58,30
1.14,35.09,14.75,1207.0,53.41,2.67,30
2.38,51.55,30.85,2524.0,68.04,3.4,30
3.25,63.04,42.08,3443.0,78.26,3.91,30
1.82,44.09,23.55,1927.0,61.41,3.07,30
3.0,59.75,38.87,3180.0,75.33,3.77,30
3.15,61.64,40.71,3331.0,77.01,3.85,30
1.47,39.49,19.05,1559.0,57.32,2.87,30
2.7,55.76,34.97,2861.0,71.79,3.59,30
2.36,51.24,30.54,2499.0,67.77,3.39,30
1.69,42.4,21.9,1792.0,59.91,3.0,30
2.59,54.3,33.54,2744.0,70.49,3.52,30
2.84,57.64,36.8,3011.0,73.46,3.67,30
2.71,55.93,35.13,2874.0,71.93,3.6,30
1.93,45.55,24.98,2044.0,62.71,3.14,30
1.17,35.43,15.08,1234.0,53.71,2.69,30
2.59,54.34,33.57,2747.0,70.52,3.53,30
1.59,41.03,20.56,1682.0,58.69,2.93,30
2.14,48.39,27.76,2271.0,65.23,3.26,30
2.61,54.5,33.73,2760.0,70.67,3.53,30
2.53,53.55,32.8,2684.0,69.82,3.49,30
3.3,63.7,42.73,3496.0,78.84,3.94,30
2.56,53.86,33.11,2709.0,70.1,3.51,30
3.31,63.76,42.79,3501.0,78.9,3.95,30
2.33,50.88,30.19,2470.0,67.44,3.37,30
1.47,39.49,19.05,1559.0,57.32,2.87,30
3.08,60.79,39.88,3263.0,76.26,3.81,30
1.28,36.98,16.6,1358.0,55.09,2.75,30
2.07,47.34,26.73,2187.0,64.3,3.22,30
2.64,55.0,34.22,2800.0,71.11,3.56,30
1.5,39.84,19.4,1587.0,57.63,2.88,30
2.81,57.13,36.3,2970.0,73.0,3.65,30
2.09,47.71,27.1,2217.0,64.63,3.23,30
1.32,37.49,17.1,1399.0,55.54,2.78,30
1.8,43.85,23.32,1908.0,61.2,3.06,30
2.79,56.99,36.17,2959.0,72.88,3.64,30
2.25,49.79,29.13,2383.0,66.48,3.32,30
1.52,40.15,19.7,1612.0,57.91,2.9,30
1.73,55.16,25.6,2973.0,71.03,3.45,20
1.31,46.05,19.32,2244.0,62.93,3.05,20
1.33,46.59,19.69,2287.0,63.41,3.07,20
1.87,58.0,27.56,3200.0,73.56,3.58,20
1.68,53.98,24.78,2878.0,69.98,3.4,20
1.8,56.55,26.56,3084.0,72.27,3.51,20
1.16,42.83,17.1,1986.0,60.07,2.9,20
1.08,41.14,15.94,1851.0,58.57,2.83,20
1.66,53.55,24.49,2844.0,69.6,3.38,20
0.88,36.81,12.96,1505.0,54.72,2.64,20
1.19,43.46,17.54,2037.0,60.63,2.93,20
1.41,48.23,20.82,2418.0,64.87,3.14,20
1.42,48.53,21.03,2442.0,65.13,3.16,20
1.19,43.59,17.63,2047.0,60.74,2.94,20
1.99,60.61,29.36,3409.0,75.88,3.69,20
1.28,45.46,18.92,2197.0,62.41,3.02,20
0.73,33.74,10.84,1259.0,51.99,2.5,20
1.04,40.35,15.4,1788.0,57.87,2.79,20
1.63,52.88,24.03,2790.0,69.0,3.35,20
0.76,34.23,11.18,1298.0,52.42,2.52,20
1.73,55.0,25.49,2960.0,70.89,3.44,20
1.78,56.09,26.24,3047.0,71.86,3.49,20
1.8,56.61,26.6,3089.0,72.32,3.52,20
1.44,48.8,21.22,2464.0,65.38,3.17,20
1.89,58.53,27.92,3242.0,74.02,3.6,20
1.58,51.78,23.27,2702.0,68.02,3.3,20
2.01,61.0,29.62,3440.0,76.22,3.71,20
1.01,39.61,14.89,1729.0,57.21,2.76,20
1.8,56.55,26.56,3084.0,72.27,3.51,20
1.83,57.21,27.01,3137.0,72.86,3.54,20
1.28,45.48,18.93,2198.0,62.42,3.02,20
0.73,33.6,10.75,1248.0,51.87,2.49,20
0.83,35.78,12.25,1422.0,53.8,2.59,20
1.71,54.58,25.2,2926.0,70.51,3.43,20
1.21,43.86,17.82,2069.0,60.99,2.95,20
1.7,54.43,25.09,2914.0,70.38,3.42,20
1.22,44.08,17.96,2086.0,61.18,2.96,20
1.76,55.8,26.04,3024.0,71.6,3.48,20
1.29,45.73,19.1,2218.0,62.64,3.03,20
1.83,57.11,26.94,3129.0,72.77,3.54,20
0.78,34.66,11.48,1333.0,52.81,2.54,20
0.75,34.11,11.1,1289.0,52.32,2.52,20
1.71,54.68,25.27,2934.0,70.6,3.43,20
1.57,51.54,23.1,2683.0,67.81,3.29,20
1.6,52.2,23.56,2736.0,68.4,3.32,20
0.75,33.98,11.01,1278.0,52.2,2.51,20
1.26,45.08,18.65,2166.0,62.07,3.0,20
0.96,38.68,14.24,1654.0,56.38,2.72,20
0.87,36.69,12.87,1495.0,54.61,2.63,20
1.38,47.64,20.42,2371.0,64.34,3.12,20
1.36,47.06,20.02,2325.0,63.83,3.09,20
0.8,35.15,11.81,1372.0,53.24,2.56,20
1.77,56.01,26.19,3041.0,71.79,3.49,20
1.56,51.41,23.02,2673.0,67.7,3.29,20
1.86,57.78,27.4,3182.0,73.36,3.57,20
1.69,54.15,24.9,2892.0,70.13,3.41,20
1.98,60.45,29.24,3396.0,75.73,3.69,20
1.88,58.26,27.74,3221.0,73.79,3.59,20
0.98,38.99,14.46,1679.0,56.66,2.73,20
0.81,35.28,11.9,1382.0,53.36,2.57,20
1.31,46.03,19.31,2242.0,62.91,3.05,20
1.07,40.83,15.72,1826.0,58.29,2.81,20
0.97,38.76,14.3,1661.0,56.46,2.72,20
0.95,38.28,13.97,1622.0,56.02,2.7,20
1.24,44.51,18.26,2121.0,61.57,2.98,20
1.84,57.39,27.13,3151.0,73.01,3.55,20
1.48,49.7,21.84,2536.0,66.18,3.21,20
1.33,46.5,19.63,2280.0,63.33,3.07,20
1.07,40.96,15.82,1837.0,58.41,2.82,20
0.82,35.51,12.06,1401.0,53.57,2.58,20
1.29,45.6,19.01,2208.0,62.53,3.03,20
2.03,61.53,29.98,3482.0,76.69,3.73,20
1.33,46.45,19.6,2276.0,63.29,3.06,20
2.04,61.64,30.06,3491.0,76.79,3.74,20
0.97,38.84,14.35,1667.0,56.52,2.73,20
0.79,34.93,11.66,1354.0,53.04,2.55,20
1.49,49.88,21.96,2550.0,66.33,3.22,20
0.84,36.05,12.43,1444.0,54.04,2.6,20
2.03,61.49,29.96,3479.0,76.66,3.73,20
1.64,53.19,24.24,2815.0,69.28,3.36,20
1.06,40.79,15.7,1823.0,58.26,2.81,20
1.11,41.69,16.32,1895.0,59.06,2.85,20
1.72,54.86,25.39,2949.0,70.77,3.44,20
